---------------------------------------|---------|----------|---------|---------|-------------------------------
File                                   | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s
---------------------------------------|---------|----------|---------|---------|-------------------------------
  password.utils.ts                    |     100 |      100 |     100 |     100 |                               
  request.utils.ts                     |     100 |    85.71 |     100 |     100 | 28
  token.utils.ts                       |   92.59 |    66.66 |     100 |   92.59 | 23-24
  url.utils.ts                         |     100 |      100 |     100 |     100 |
 guerras_secretas/src/utils/errors     |     100 |      100 |     100 |     100 |
  api.error.ts                         |     100 |      100 |     100 |     100 |
  not-found.error.ts                   |     100 |      100 |     100 |     100 |
  unauthorized.error.ts                |     100 |      100 |     100 |     100 |
 guerras_secretas/test/character       |     100 |      100 |     100 |     100 |
  data.character.ts                    |     100 |      100 |     100 |     100 |
 guerras_secretas/test/config          |   85.07 |    61.53 |     100 |   85.07 |
  seed.ts                              |   85.07 |    61.53 |     100 |   85.07 | 27-28,35-36,43-44,51-52,59-60
 guerras_secretas/test/populate/comics |     100 |      100 |     100 |     100 |
  data-character.comic.ts              |     100 |      100 |     100 |     100 |
  data-comic.comic.ts                  |     100 |      100 |     100 |     100 |
  data-creator.comic.ts                |     100 |      100 |     100 |     100 |
  data-event.comic.ts                  |     100 |      100 |     100 |     100 |
  data-serie.comic.ts                  |     100 |      100 |     100 |     100 |
  data-storie.comic.ts                 |     100 |      100 |     100 |     100 |
 guerras_secretas/test/populate/series |     100 |      100 |     100 |     100 |
  data-character.populate.ts           |     100 |      100 |     100 |     100 |
  data-comic.populate.ts               |     100 |      100 |     100 |     100 |
  data-creator.populate.ts             |     100 |      100 |     100 |     100 |
  data-event.populate.ts               |     100 |      100 |     100 |     100 |
  data-serie.populate.ts               |     100 |      100 |     100 |     100 |
  data-storie.populate.ts              |     100 |      100 |     100 |     100 |
 guerras_secretas/test/user            |     100 |      100 |     100 |     100 |
  data.user.ts                         |     100 |      100 |     100 |     100 |
---------------------------------------|---------|----------|---------|---------|-------------------------------
Jest: "global" coverage threshold for branches (90%) not met: 79.93%

Test Suites: 8 passed, 8 total
Tests:       26 passed, 26 total
Snapshots:   0 total
Time:        37.845 s
Ran all test suites.'
